timestamp,domain,district,ward,service_type,demand_requests,resource_availability,gap,response_time_minutes,citizen_complaints,day_of_week,month,is_weekend,is_monsoon,population_factor,urban_ratio
2023-02-21,Health,Mumbai,Ward_4,Disease_Dengue,20,17,3,47.94,2,1,2,0,0,2.5,1.0
2024-09-01,Health,Solapur,Ward_6,Hospital_Bed_ICU,5,4,1,63.82,4,6,9,1,1,1.0,0.35
2024-05-30,Health,Aurangabad,Ward_7,Hospital_Bed_ICU,6,5,1,12.62,1,3,5,0,0,1.2,0.4
2023-10-12,Health,Mumbai,Ward_17,OPD_General,555,471,84,23.97,1,3,10,0,0,2.5,1.0
2024-09-12,Health,Pune,Ward_8,OPD_Pediatric,163,115,48,88.82,4,3,9,0,1,2.0,0.65
2025-02-06,Health,Aurangabad,Ward_7,Ambulance_Emergency,17,11,6,12.36,4,3,2,0,0,1.2,0.4
2025-06-07,Health,Nashik,Ward_2,OPD_Pediatric,34,31,3,40.85,1,5,6,1,1,1.3,0.45
2023-08-14,Health,Nagpur,Ward_7,Disease_Dengue,4,2,2,64.52,3,0,8,0,1,1.5,0.6
2025-05-20,Health,Solapur,Ward_8,OPD_General,86,79,7,92.71,0,1,5,0,0,1.0,0.35
2025-09-17,Health,Mumbai,Ward_11,Ambulance_Emergency,133,106,27,11.08,1,2,9,0,1,2.5,1.0
2025-07-08,Health,Thane,Ward_14,Disease_Malaria,8,7,1,24.45,1,1,7,0,1,2.2,0.75
2024-11-16,Health,Thane,Ward_2,Disease_Dengue,8,4,4,21.53,6,5,11,1,0,2.2,0.75
2023-10-08,Health,Thane,Ward_15,Disease_Dengue,2,1,1,105.28,3,6,10,1,0,2.2,0.75
2024-08-06,Health,Kolhapur,Ward_2,Hospital_Bed_General,38,26,12,83.37,3,1,8,0,1,1.1,0.38
2023-12-12,Health,Nagpur,Ward_8,Disease_Dengue,1,0,1,16.63,10,1,12,0,0,1.5,0.6
2024-06-08,Health,Mumbai,Ward_4,OPD_Pediatric,163,103,60,14.81,4,5,6,1,1,2.5,1.0
2024-10-26,Health,Aurangabad,Ward_7,Disease_Malaria,1,0,1,28.62,10,5,10,1,0,1.2,0.4
2023-03-12,Health,Aurangabad,Ward_8,Ambulance_Emergency,12,10,2,45.56,3,6,3,1,0,1.2,0.4
2024-05-27,Health,Pune,Ward_5,Ambulance_Emergency,33,22,11,21.07,7,0,5,0,0,2.0,0.65
2024-08-28,Health,Pune,Ward_15,OPD_General,427,392,35,36.16,2,2,8,0,1,2.0,0.65
2025-03-14,Health,Mumbai,Ward_13,OPD_Pediatric,200,182,18,21.81,1,4,3,0,0,2.5,1.0
2024-06-28,Health,Nashik,Ward_3,Hospital_Bed_General,53,41,12,9.68,4,4,6,0,1,1.3,0.45
2024-10-09,Health,Aurangabad,Ward_6,OPD_General,121,103,18,7.46,1,2,10,0,0,1.2,0.4
2024-05-15,Health,Nashik,Ward_7,Ambulance_Emergency,18,11,7,3.34,5,2,5,0,0,1.3,0.45
2024-10-26,Health,Mumbai,Ward_22,Disease_Dengue,10,7,3,76.28,2,5,10,1,0,2.5,1.0
2025-02-13,Health,Mumbai,Ward_1,OPD_General,843,522,321,31.0,5,3,2,0,0,2.5,1.0
2025-09-16,Health,Thane,Ward_2,Hospital_Bed_ICU,45,40,5,30.17,0,1,9,0,1,2.2,0.75
2025-03-12,Health,Nagpur,Ward_5,OPD_General,211,177,34,16.64,0,2,3,0,0,1.5,0.6
2024-06-09,Health,Aurangabad,Ward_5,Disease_Malaria,2,1,1,34.95,4,6,6,1,1,1.2,0.4
2024-12-15,Health,Nashik,Ward_7,Ambulance_Emergency,8,5,3,6.88,4,6,12,1,0,1.3,0.45
2024-08-12,Health,Thane,Ward_2,Hospital_Bed_General,188,134,54,67.7,4,0,8,0,1,2.2,0.75
2023-02-17,Health,Nashik,Ward_4,OPD_Pediatric,60,46,14,41.69,3,4,2,0,0,1.3,0.45
2024-03-30,Health,Aurangabad,Ward_8,OPD_Pediatric,26,19,7,34.35,2,5,3,1,0,1.2,0.4
2024-04-07,Health,Solapur,Ward_8,OPD_General,48,30,18,89.64,2,6,4,1,0,1.0,0.35
2024-07-10,Health,Aurangabad,Ward_4,Ambulance_Emergency,21,13,8,1.62,6,2,7,0,1,1.2,0.4
2024-12-28,Health,Pune,Ward_6,Hospital_Bed_ICU,10,7,3,71.28,4,5,12,1,0,2.0,0.65
2024-02-19,Health,Solapur,Ward_6,OPD_Pediatric,39,24,15,30.83,3,0,2,0,0,1.0,0.35
2023-07-05,Health,Nashik,Ward_9,Hospital_Bed_General,69,58,11,39.83,2,2,7,0,1,1.3,0.45
2025-10-13,Health,Kolhapur,Ward_8,Disease_Dengue,2,1,1,56.55,3,0,10,0,0,1.1,0.38
2024-03-07,Health,Aurangabad,Ward_3,Hospital_Bed_ICU,2,1,1,24.53,6,3,3,0,0,1.2,0.4
2025-05-14,Health,Pune,Ward_9,OPD_Pediatric,110,87,23,13.82,3,2,5,0,0,2.0,0.65
2023-02-12,Health,Nashik,Ward_5,Hospital_Bed_General,32,23,9,43.0,2,6,2,1,0,1.3,0.45
2024-06-06,Health,Mumbai,Ward_5,Ambulance_Emergency,139,106,33,5.17,4,3,6,0,1,2.5,1.0
2024-01-29,Health,Nashik,Ward_6,OPD_Pediatric,79,57,22,23.31,4,0,1,0,0,1.3,0.45
2024-01-03,Health,Pune,Ward_5,OPD_Pediatric,167,102,65,23.26,3,2,1,0,0,2.0,0.65
2023-04-26,Health,Solapur,Ward_4,Disease_Dengue,2,1,1,47.02,7,2,4,0,0,1.0,0.35
2024-09-25,Health,Nashik,Ward_5,Disease_Dengue,7,5,2,27.96,5,2,9,0,1,1.3,0.45
2025-06-05,Health,Pune,Ward_14,OPD_Pediatric,141,101,40,54.08,5,3,6,0,1,2.0,0.65
2024-12-24,Health,Aurangabad,Ward_3,Hospital_Bed_ICU,6,4,2,79.06,4,1,12,0,0,1.2,0.4
2025-04-28,Health,Mumbai,Ward_12,Disease_Dengue,7,4,3,27.09,2,0,4,0,0,2.5,1.0
2023-04-01,Health,Pune,Ward_14,Ambulance_Emergency,26,19,7,38.56,1,5,4,1,0,2.0,0.65
2023-07-03,Health,Kolhapur,Ward_5,Disease_Dengue,7,5,2,149.45,6,0,7,0,1,1.1,0.38
2024-05-26,Health,Mumbai,Ward_8,OPD_General,343,255,88,68.33,0,6,5,1,0,2.5,1.0
2024-10-08,Health,Mumbai,Ward_11,OPD_Pediatric,182,169,13,39.22,0,1,10,0,0,2.5,1.0
2025-03-14,Health,Thane,Ward_4,Ambulance_Emergency,42,39,3,23.37,1,4,3,0,0,2.2,0.75
2023-02-01,Health,Aurangabad,Ward_6,Disease_Malaria,1,0,1,35.27,10,2,2,0,0,1.2,0.4
2024-11-13,Health,Thane,Ward_7,OPD_Pediatric,135,81,54,33.17,6,2,11,0,0,2.2,0.75
2025-08-23,Health,Solapur,Ward_8,OPD_Pediatric,20,16,4,92.35,1,5,8,1,1,1.0,0.35
2025-02-13,Health,Aurangabad,Ward_1,Disease_Dengue,1,0,1,21.51,10,3,2,0,0,1.2,0.4
2023-08-15,Health,Thane,Ward_2,Disease_Malaria,8,7,1,68.08,1,1,8,0,1,2.2,0.75
2025-01-31,Health,Aurangabad,Ward_5,Ambulance_Emergency,16,12,4,3.52,3,4,1,0,0,1.2,0.4
2025-04-10,Health,Pune,Ward_10,Hospital_Bed_ICU,32,29,3,11.06,0,3,4,0,0,2.0,0.65
2024-05-05,Health,Kolhapur,Ward_3,OPD_Pediatric,18,12,6,45.52,4,6,5,1,0,1.1,0.38
2024-09-12,Health,Kolhapur,Ward_7,Ambulance_Emergency,15,10,5,62.36,3,3,9,0,1,1.1,0.38
2024-07-12,Health,Nashik,Ward_2,Hospital_Bed_ICU,8,6,2,60.6,1,4,7,0,1,1.3,0.45
2025-09-21,Health,Solapur,Ward_4,Hospital_Bed_General,20,17,3,29.71,1,6,9,1,1,1.0,0.35
2023-05-24,Health,Mumbai,Ward_2,Disease_Malaria,7,6,1,37.67,1,2,5,0,0,2.5,1.0
2023-10-10,Health,Kolhapur,Ward_8,Hospital_Bed_ICU,7,5,2,21.02,4,1,10,0,0,1.1,0.38
2023-04-16,Health,Thane,Ward_14,OPD_Pediatric,91,64,27,51.24,3,6,4,1,0,2.2,0.75
2024-08-02,Health,Solapur,Ward_1,Hospital_Bed_ICU,6,4,2,53.24,2,4,8,0,1,1.0,0.35
2025-02-17,Health,Solapur,Ward_1,Disease_Dengue,1,0,1,26.76,10,0,2,0,0,1.0,0.35
2025-09-27,Health,Mumbai,Ward_18,Hospital_Bed_ICU,25,20,5,37.6,3,5,9,1,1,2.5,1.0
2024-02-27,Health,Nagpur,Ward_9,Hospital_Bed_ICU,13,8,5,19.53,4,1,2,0,0,1.5,0.6
2025-05-09,Health,Solapur,Ward_6,OPD_Pediatric,24,22,2,36.77,0,4,5,0,0,1.0,0.35
2025-10-21,Health,Aurangabad,Ward_8,Hospital_Bed_General,44,31,13,54.88,4,1,10,0,0,1.2,0.4
2023-11-01,Health,Pune,Ward_8,OPD_Pediatric,83,59,24,31.69,6,2,11,0,0,2.0,0.65
2024-01-13,Health,Mumbai,Ward_4,Hospital_Bed_General,118,81,37,19.92,3,5,1,1,0,2.5,1.0
2025-01-03,Health,Nashik,Ward_1,Disease_Dengue,2,1,1,59.67,4,4,1,0,0,1.3,0.45
2024-10-13,Health,Nashik,Ward_12,OPD_General,85,55,30,17.93,3,6,10,1,0,1.3,0.45
2024-01-15,Health,Aurangabad,Ward_4,Disease_Malaria,1,0,1,37.33,10,0,1,0,0,1.2,0.4
2025-05-04,Health,Nagpur,Ward_7,Disease_Malaria,2,1,1,49.3,4,6,5,1,0,1.5,0.6
2024-02-09,Health,Mumbai,Ward_21,Disease_Malaria,10,8,2,26.53,2,4,2,0,0,2.5,1.0
2024-09-07,Health,Nashik,Ward_2,OPD_General,123,111,12,80.69,2,5,9,1,1,1.3,0.45
2025-05-24,Health,Thane,Ward_12,OPD_Pediatric,78,50,28,11.28,2,5,5,1,0,2.2,0.75
2024-04-08,Health,Kolhapur,Ward_5,Hospital_Bed_General,35,31,4,92.44,1,0,4,0,0,1.1,0.38
2023-05-29,Health,Nagpur,Ward_2,Disease_Malaria,3,2,1,21.84,0,0,5,0,0,1.5,0.6
2025-07-04,Health,Solapur,Ward_1,Ambulance_Emergency,16,14,2,3.49,4,4,7,0,1,1.0,0.35
2025-07-22,Health,Solapur,Ward_5,OPD_General,111,80,31,43.79,1,1,7,0,1,1.0,0.35
2025-02-01,Health,Nagpur,Ward_1,Disease_Dengue,4,3,1,44.23,2,5,2,1,0,1.5,0.6
2024-07-09,Health,Kolhapur,Ward_8,OPD_Pediatric,38,34,4,31.58,3,1,7,0,1,1.1,0.38
2025-04-06,Health,Thane,Ward_9,Hospital_Bed_ICU,16,10,6,34.09,6,6,4,1,0,2.2,0.75
2023-02-25,Health,Thane,Ward_17,Disease_Dengue,1,0,1,30.54,10,5,2,1,0,2.2,0.75
2023-04-18,Health,Mumbai,Ward_9,OPD_General,607,556,51,24.01,1,1,4,0,0,2.5,1.0
2023-01-17,Health,Aurangabad,Ward_8,OPD_General,179,168,11,103.23,0,1,1,0,0,1.2,0.4
2023-05-25,Health,Mumbai,Ward_20,Hospital_Bed_General,250,222,28,62.01,0,3,5,0,0,2.5,1.0
2025-08-31,Health,Pune,Ward_4,Disease_Dengue,9,5,4,40.94,5,6,8,1,1,2.0,0.65
2025-09-21,Health,Mumbai,Ward_12,Hospital_Bed_General,150,103,47,61.61,3,6,9,1,1,2.5,1.0
2024-04-12,Health,Solapur,Ward_8,Hospital_Bed_General,27,22,5,33.94,3,4,4,0,0,1.0,0.35
2023-07-26,Health,Nagpur,Ward_10,OPD_General,305,242,63,28.48,2,2,7,0,1,1.5,0.6
2025-06-02,Health,Solapur,Ward_6,Hospital_Bed_ICU,8,4,4,50.12,3,0,6,0,1,1.0,0.35
2024-02-29,Health,Mumbai,Ward_22,Hospital_Bed_ICU,50,44,6,45.91,0,3,2,0,0,2.5,1.0
2023-02-09,Health,Kolhapur,Ward_2,OPD_General,143,107,36,19.66,4,3,2,0,0,1.1,0.38
2024-02-20,Health,Aurangabad,Ward_3,Ambulance_Emergency,19,16,3,6.89,1,1,2,0,0,1.2,0.4
2025-02-11,Health,Kolhapur,Ward_5,OPD_General,156,112,44,92.66,3,1,2,0,0,1.1,0.38
2024-09-22,Health,Kolhapur,Ward_4,Ambulance_Emergency,12,10,2,1.81,3,6,9,1,1,1.1,0.38
2023-05-28,Health,Nagpur,Ward_1,Disease_Dengue,3,2,1,33.5,3,6,5,1,0,1.5,0.6
