timestamp,domain,district,ward,service_type,incidents_reported,incidents_resolved,response_time_minutes,severity_level,day_of_week,month,is_weekend,population_factor,urban_ratio
2024-06-15,PublicSafety,Nagpur,Ward_3,Police_Crime_Report,93,84,20.66,Critical,5,6,1,1.5,0.6
2023-07-04,PublicSafety,Aurangabad,Ward_8,Police_Traffic_Accident,36,30,15.37,Low,1,7,0,1.2,0.4
2025-04-04,PublicSafety,Thane,Ward_7,Disaster_Alert,3,2,12.33,Low,4,4,0,2.2,0.75
2023-04-20,PublicSafety,Pune,Ward_3,Fire_Emergency,13,11,10.54,Medium,3,4,0,2.0,0.65
2025-08-30,PublicSafety,Nagpur,Ward_8,Fire_Emergency,11,8,18.05,Medium,5,8,1,1.5,0.6
2024-01-12,PublicSafety,Mumbai,Ward_16,Disaster_Alert,15,14,50.63,Medium,4,1,0,2.5,1.0
2025-01-22,PublicSafety,Kolhapur,Ward_8,Police_Crime_Report,74,70,14.13,High,2,1,0,1.1,0.38
2023-01-04,PublicSafety,Solapur,Ward_1,Police_Crime_Report,59,49,23.11,Low,2,1,0,1.0,0.35
2023-12-01,PublicSafety,Thane,Ward_5,Disaster_Alert,9,6,43.59,Medium,4,12,0,2.2,0.75
2025-04-08,PublicSafety,Thane,Ward_8,Fire_Emergency,27,25,23.44,High,1,4,0,2.2,0.75
2025-04-07,PublicSafety,Kolhapur,Ward_1,Emergency_Helpline_Call,147,115,22.82,Low,0,4,0,1.1,0.38
2025-07-29,PublicSafety,Nagpur,Ward_2,Police_Traffic_Accident,54,49,27.16,Medium,1,7,0,1.5,0.6
2024-07-31,PublicSafety,Pune,Ward_9,Emergency_Helpline_Call,325,306,7.35,Critical,2,7,0,2.0,0.65
2024-02-03,PublicSafety,Pune,Ward_4,Disaster_Alert,2,1,12.78,Low,5,2,1,2.0,0.65
2025-08-23,PublicSafety,Mumbai,Ward_19,Police_Crime_Report,191,179,22.38,Medium,5,8,1,2.5,1.0
2023-05-21,PublicSafety,Solapur,Ward_1,Emergency_Helpline_Call,133,115,16.54,Medium,6,5,1,1.0,0.35
2024-09-30,PublicSafety,Aurangabad,Ward_5,Emergency_Helpline_Call,175,129,20.89,Medium,0,9,0,1.2,0.4
2025-02-07,PublicSafety,Solapur,Ward_3,Police_Crime_Report,57,52,15.14,Medium,4,2,0,1.0,0.35
2024-03-11,PublicSafety,Thane,Ward_13,Police_Traffic_Accident,96,79,19.16,Low,0,3,0,2.2,0.75
2023-03-29,PublicSafety,Nagpur,Ward_8,Police_Traffic_Accident,39,30,24.81,High,2,3,0,1.5,0.6
2023-04-21,PublicSafety,Thane,Ward_13,Fire_Emergency,12,8,3.89,Medium,4,4,0,2.2,0.75
2024-07-20,PublicSafety,Pune,Ward_3,Police_Crime_Report,137,120,17.03,High,5,7,1,2.0,0.65
2025-07-05,PublicSafety,Thane,Ward_17,Emergency_Helpline_Call,344,272,7.77,High,5,7,1,2.2,0.75
2023-05-06,PublicSafety,Nagpur,Ward_8,Fire_Emergency,9,7,2.89,Medium,5,5,1,1.5,0.6
2023-08-01,PublicSafety,Solapur,Ward_1,Police_Traffic_Accident,31,25,9.73,Medium,1,8,0,1.0,0.35
2024-10-12,PublicSafety,Mumbai,Ward_10,Fire_Emergency,18,14,1.75,Critical,5,10,1,2.5,1.0
2024-02-20,PublicSafety,Kolhapur,Ward_7,Police_Traffic_Accident,27,20,37.15,Medium,1,2,0,1.1,0.38
2023-08-01,PublicSafety,Aurangabad,Ward_7,Emergency_Helpline_Call,184,162,10.74,Low,1,8,0,1.2,0.4
2024-09-02,PublicSafety,Thane,Ward_9,Disaster_Alert,3,2,46.5,Low,0,9,0,2.2,0.75
2023-06-29,PublicSafety,Mumbai,Ward_14,Emergency_Helpline_Call,438,323,9.88,High,3,6,0,2.5,1.0
2024-06-07,PublicSafety,Aurangabad,Ward_3,Fire_Emergency,7,5,1.45,Low,4,6,0,1.2,0.4
2025-04-26,PublicSafety,Solapur,Ward_4,Emergency_Helpline_Call,125,95,1.65,Medium,5,4,1,1.0,0.35
2023-08-11,PublicSafety,Nagpur,Ward_4,Disaster_Alert,1,0,31.52,Low,4,8,0,1.5,0.6
2023-04-26,PublicSafety,Nagpur,Ward_7,Disaster_Alert,7,6,22.34,High,2,4,0,1.5,0.6
2025-03-21,PublicSafety,Thane,Ward_4,Disaster_Alert,3,2,42.84,Low,4,3,0,2.2,0.75
2023-07-30,PublicSafety,Mumbai,Ward_11,Police_Traffic_Accident,108,99,49.98,Low,6,7,1,2.5,1.0
2025-04-26,PublicSafety,Nagpur,Ward_10,Police_Crime_Report,105,94,21.95,Low,5,4,1,1.5,0.6
2025-01-07,PublicSafety,Nashik,Ward_12,Police_Crime_Report,78,73,50.61,Low,1,1,0,1.3,0.45
2024-04-15,PublicSafety,Nagpur,Ward_4,Fire_Emergency,21,17,7.23,Low,0,4,0,1.5,0.6
2023-07-15,PublicSafety,Pune,Ward_12,Police_Traffic_Accident,82,76,22.33,Low,5,7,1,2.0,0.65
2025-03-09,PublicSafety,Kolhapur,Ward_6,Police_Crime_Report,61,55,41.2,Low,6,3,1,1.1,0.38
2025-01-04,PublicSafety,Kolhapur,Ward_3,Emergency_Helpline_Call,153,144,6.71,Medium,5,1,1,1.1,0.38
2023-03-05,PublicSafety,Solapur,Ward_7,Police_Crime_Report,64,62,15.03,Low,6,3,1,1.0,0.35
2023-08-31,PublicSafety,Solapur,Ward_6,Police_Traffic_Accident,34,33,53.04,Low,3,8,0,1.0,0.35
2024-03-17,PublicSafety,Aurangabad,Ward_7,Police_Crime_Report,74,71,16.26,Low,6,3,1,1.2,0.4
2023-08-29,PublicSafety,Thane,Ward_16,Police_Crime_Report,139,112,30.71,Low,1,8,0,2.2,0.75
2024-07-26,PublicSafety,Solapur,Ward_8,Emergency_Helpline_Call,139,134,16.59,Medium,4,7,0,1.0,0.35
2025-10-09,PublicSafety,Nashik,Ward_4,Disaster_Alert,4,2,26.52,Medium,3,10,0,1.3,0.45
2024-11-26,PublicSafety,Mumbai,Ward_20,Emergency_Helpline_Call,457,396,24.42,High,1,11,0,2.5,1.0
2024-05-13,PublicSafety,Aurangabad,Ward_6,Emergency_Helpline_Call,188,166,20.3,Low,0,5,0,1.2,0.4
2025-09-17,PublicSafety,Pune,Ward_4,Police_Crime_Report,143,115,23.77,Low,2,9,0,2.0,0.65
2023-02-09,PublicSafety,Kolhapur,Ward_4,Police_Traffic_Accident,26,24,57.58,Low,3,2,0,1.1,0.38
2024-01-31,PublicSafety,Thane,Ward_16,Fire_Emergency,15,13,12.86,Medium,2,1,0,2.2,0.75
2025-10-20,PublicSafety,Pune,Ward_15,Fire_Emergency,23,16,5.52,Medium,0,10,0,2.0,0.65
2025-04-20,PublicSafety,Kolhapur,Ward_7,Fire_Emergency,9,8,7.82,Medium,6,4,1,1.1,0.38
2023-05-17,PublicSafety,Nagpur,Ward_8,Emergency_Helpline_Call,234,228,4.34,Critical,2,5,0,1.5,0.6
2025-03-27,PublicSafety,Solapur,Ward_6,Fire_Emergency,10,7,11.49,Medium,3,3,0,1.0,0.35
2025-09-17,PublicSafety,Aurangabad,Ward_6,Emergency_Helpline_Call,185,178,30.77,High,2,9,0,1.2,0.4
2023-08-17,PublicSafety,Solapur,Ward_2,Disaster_Alert,1,0,19.16,Low,3,8,0,1.0,0.35
2025-02-22,PublicSafety,Kolhapur,Ward_5,Police_Traffic_Accident,34,32,59.05,Low,5,2,1,1.1,0.38
2023-09-17,PublicSafety,Pune,Ward_1,Disaster_Alert,2,1,38.35,High,6,9,1,2.0,0.65
2024-01-22,PublicSafety,Solapur,Ward_6,Disaster_Alert,1,0,37.44,Critical,0,1,0,1.0,0.35
2023-07-08,PublicSafety,Pune,Ward_2,Police_Crime_Report,140,102,86.55,Medium,5,7,1,2.0,0.65
2025-04-10,PublicSafety,Kolhapur,Ward_5,Police_Traffic_Accident,15,11,31.7,High,3,4,0,1.1,0.38
2023-06-30,PublicSafety,Kolhapur,Ward_6,Police_Traffic_Accident,39,36,27.24,Low,4,6,0,1.1,0.38
2024-03-15,PublicSafety,Kolhapur,Ward_6,Fire_Emergency,9,8,9.69,Medium,4,3,0,1.1,0.38
2025-02-28,PublicSafety,Pune,Ward_10,Emergency_Helpline_Call,331,290,4.12,Low,4,2,0,2.0,0.65
2025-05-10,PublicSafety,Pune,Ward_8,Emergency_Helpline_Call,347,279,0.77,Medium,5,5,1,2.0,0.65
2023-10-29,PublicSafety,Nagpur,Ward_7,Fire_Emergency,11,9,20.06,Medium,6,10,1,1.5,0.6
2024-05-22,PublicSafety,Kolhapur,Ward_4,Fire_Emergency,11,9,4.51,High,2,5,0,1.1,0.38
2024-07-16,PublicSafety,Nashik,Ward_7,Police_Traffic_Accident,36,33,18.03,Medium,1,7,0,1.3,0.45
2023-04-13,PublicSafety,Kolhapur,Ward_8,Emergency_Helpline_Call,124,88,7.09,Low,3,4,0,1.1,0.38
2024-03-20,PublicSafety,Thane,Ward_16,Disaster_Alert,3,2,22.2,Medium,2,3,0,2.2,0.75
2023-05-24,PublicSafety,Kolhapur,Ward_6,Disaster_Alert,1,0,33.33,High,2,5,0,1.1,0.38
2025-08-26,PublicSafety,Mumbai,Ward_15,Police_Crime_Report,217,199,13.4,Low,1,8,0,2.5,1.0
2023-12-21,PublicSafety,Nashik,Ward_9,Disaster_Alert,1,0,44.69,Critical,3,12,0,1.3,0.45
2024-02-07,PublicSafety,Pune,Ward_1,Police_Traffic_Accident,63,50,52.68,Low,2,2,0,2.0,0.65
2025-03-20,PublicSafety,Aurangabad,Ward_3,Police_Traffic_Accident,34,24,35.69,High,3,3,0,1.2,0.4
2023-09-30,PublicSafety,Kolhapur,Ward_6,Fire_Emergency,10,9,9.16,Critical,5,9,1,1.1,0.38
2024-04-16,PublicSafety,Thane,Ward_1,Police_Crime_Report,117,102,12.74,Critical,1,4,0,2.2,0.75
2024-07-27,PublicSafety,Solapur,Ward_3,Fire_Emergency,9,8,14.5,Low,5,7,1,1.0,0.35
2024-11-27,PublicSafety,Solapur,Ward_7,Disaster_Alert,3,2,26.13,Low,2,11,0,1.0,0.35
2024-01-12,PublicSafety,Kolhapur,Ward_3,Fire_Emergency,6,5,6.65,Medium,4,1,0,1.1,0.38
2025-07-03,PublicSafety,Mumbai,Ward_16,Emergency_Helpline_Call,412,349,13.96,Medium,3,7,0,2.5,1.0
2023-12-13,PublicSafety,Kolhapur,Ward_3,Emergency_Helpline_Call,171,152,3.2,Medium,2,12,0,1.1,0.38
2023-04-04,PublicSafety,Kolhapur,Ward_4,Disaster_Alert,1,0,12.01,Medium,1,4,0,1.1,0.38
2025-08-19,PublicSafety,Solapur,Ward_5,Police_Traffic_Accident,35,32,55.0,Low,1,8,0,1.0,0.35
2024-12-28,PublicSafety,Kolhapur,Ward_1,Fire_Emergency,14,11,5.69,High,5,12,1,1.1,0.38
2023-06-15,PublicSafety,Kolhapur,Ward_7,Disaster_Alert,5,4,14.61,Low,3,6,0,1.1,0.38
2023-07-27,PublicSafety,Kolhapur,Ward_5,Disaster_Alert,1,0,41.7,Critical,3,7,0,1.1,0.38
2024-01-24,PublicSafety,Nashik,Ward_5,Police_Crime_Report,71,51,39.94,Medium,2,1,0,1.3,0.45
2024-12-02,PublicSafety,Nashik,Ward_8,Fire_Emergency,6,4,3.8,Medium,0,12,0,1.3,0.45
2023-01-28,PublicSafety,Nashik,Ward_10,Police_Crime_Report,79,56,61.26,Medium,5,1,1,1.3,0.45
2024-05-31,PublicSafety,Solapur,Ward_8,Disaster_Alert,1,0,48.94,Low,4,5,0,1.0,0.35
2025-05-03,PublicSafety,Pune,Ward_13,Police_Crime_Report,121,113,32.58,Low,5,5,1,2.0,0.65
2023-01-20,PublicSafety,Solapur,Ward_7,Fire_Emergency,5,4,4.31,Medium,4,1,0,1.0,0.35
2025-06-15,PublicSafety,Solapur,Ward_4,Police_Traffic_Accident,36,28,35.87,Low,6,6,1,1.0,0.35
2023-12-10,PublicSafety,Nashik,Ward_11,Fire_Emergency,4,3,5.09,Medium,6,12,1,1.3,0.45
2024-08-07,PublicSafety,Nagpur,Ward_2,Police_Traffic_Accident,70,65,22.05,Low,2,8,0,1.5,0.6
2024-09-26,PublicSafety,Kolhapur,Ward_3,Disaster_Alert,2,1,43.18,Low,3,9,0,1.1,0.38
2023-03-22,PublicSafety,Nagpur,Ward_2,Police_Traffic_Accident,42,37,26.87,Low,2,3,0,1.5,0.6
2025-02-08,PublicSafety,Solapur,Ward_5,Emergency_Helpline_Call,135,100,6.18,Medium,5,2,1,1.0,0.35
2024-05-25,PublicSafety,Mumbai,Ward_18,Police_Crime_Report,168,127,53.12,High,5,5,1,2.5,1.0
